ID,Hour of Day,Package UUID,Is Audio Device Connected,Is Charging,Is Wifi Connected,Is Mobile Data Connected,Is Bluetooth Connected,Brightness
74,9,0d6d55f7-ce38-4878-87b3-0a9d1aaf53af,false,false,false,true,false,12
75,9,2f1e9eea-51dc-44a6-954b-6ea75d5a1fdd,false,false,false,true,false,12
76,9,7eeefa32-f548-4ff2-be56-ffac0daae06c,false,false,false,true,false,12
77,9,2f1e9eea-51dc-44a6-954b-6ea75d5a1fdd,false,false,false,true,false,255
78,9,23310c67-83ff-4a3d-a0a8-e638cff094e0,false,false,false,true,false,70
79,9,372fa69d-0a79-4dc6-88fc-dfca8ba909c4,false,false,false,true,false,12
80,9,7e46c19a-122e-46e6-b953-d38c3aa4ebd8,false,false,false,true,false,12
81,9,4919ab0e-b962-481f-84ac-56fa1adde52d,false,false,false,true,false,12
82,9,51152f1b-0394-4568-a15a-6039e9af055b,false,false,false,true,false,12
83,9,b627002c-eb47-41d8-914b-92cddb12361e,false,false,false,true,true,12
84,9,b627002c-eb47-41d8-914b-92cddb12361e,true,false,false,true,true,12
85,9,791e69eb-3628-4e99-89fb-81625df66e6a,true,false,false,true,true,12
86,9,0d6d55f7-ce38-4878-87b3-0a9d1aaf53af,true,false,false,true,true,12
87,9,b627002c-eb47-41d8-914b-92cddb12361e,true,false,false,true,true,12
88,9,5c53085f-58f4-4b98-8bf2-148fbf9f5ddb,true,false,false,true,true,12
89,9,5c53085f-58f4-4b98-8bf2-148fbf9f5ddb,true,false,false,true,true,12
90,9,4919ab0e-b962-481f-84ac-56fa1adde52d,true,false,false,true,true,12
91,9,51152f1b-0394-4568-a15a-6039e9af055b,true,false,false,true,true,12
92,9,0d6d55f7-ce38-4878-87b3-0a9d1aaf53af,true,false,false,true,true,12
93,9,23310c67-83ff-4a3d-a0a8-e638cff094e0,false,false,false,true,true,12
94,10,0d6d55f7-ce38-4878-87b3-0a9d1aaf53af,false,false,true,false,true,37
95,10,0d6d55f7-ce38-4878-87b3-0a9d1aaf53af,false,false,true,false,true,37
96,10,5c6d8995-2025-43ac-af80-fda52e660fbd,false,false,true,false,true,36
97,10,80974e0e-e0f1-47c3-a5bc-902046767774,false,false,true,false,true,36
98,11,0458b4f0-87c2-4bf9-b9fc-e57bdf87d68c,false,false,true,false,true,31
99,11,4919ab0e-b962-481f-84ac-56fa1adde52d,false,false,true,false,true,31
100,11,51152f1b-0394-4568-a15a-6039e9af055b,false,false,true,false,true,31
101,11,0d6d55f7-ce38-4878-87b3-0a9d1aaf53af,false,false,true,false,true,31
102,11,0d6d55f7-ce38-4878-87b3-0a9d1aaf53af,false,false,true,false,true,31
103,11,4919ab0e-b962-481f-84ac-56fa1adde52d,false,false,true,false,true,34
104,11,47147fd6-96a0-490e-83bf-43c6ea1d8dbb,false,false,true,false,true,34
105,11,372fa69d-0a79-4dc6-88fc-dfca8ba909c4,false,false,true,false,true,31
106,11,fa25658e-d670-47fa-8b88-688c07044b6c,false,false,true,false,true,31
107,11,0d6d55f7-ce38-4878-87b3-0a9d1aaf53af,false,false,true,false,true,31
108,11,fa25658e-d670-47fa-8b88-688c07044b6c,false,false,true,false,true,26
109,11,372fa69d-0a79-4dc6-88fc-dfca8ba909c4,false,false,true,false,true,26
110,11,0458b4f0-87c2-4bf9-b9fc-e57bdf87d68c,false,false,true,false,true,32
111,11,d3394b73-8c59-481f-8fd6-f5efb87e13dd,false,false,true,false,true,32
112,11,4919ab0e-b962-481f-84ac-56fa1adde52d,false,false,true,false,true,32
113,12,fa25658e-d670-47fa-8b88-688c07044b6c,false,false,true,false,true,32
114,12,372fa69d-0a79-4dc6-88fc-dfca8ba909c4,false,false,true,false,true,32
115,12,372fa69d-0a79-4dc6-88fc-dfca8ba909c4,false,false,true,false,true,32
116,12,c2a4a684-3b0d-4bb8-a12f-f55aca9ac98d,false,false,true,false,true,35
117,12,6373b7d1-fb07-436b-8282-e731f7030080,false,false,true,false,true,90
118,12,0d6d55f7-ce38-4878-87b3-0a9d1aaf53af,false,false,true,false,true,15
119,12,6373b7d1-fb07-436b-8282-e731f7030080,false,false,true,false,true,19
120,12,0458b4f0-87c2-4bf9-b9fc-e57bdf87d68c,false,false,true,false,true,16
121,12,0d6d55f7-ce38-4878-87b3-0a9d1aaf53af,false,false,true,false,true,15
122,12,0d6d55f7-ce38-4878-87b3-0a9d1aaf53af,false,false,true,false,true,15
123,12,322d9f29-435a-403e-90a0-42132927d6b6,false,false,true,false,true,15
124,12,9707ef4f-2dd1-43a4-84f3-a82e2873f9fa,false,false,true,false,true,15
125,12,ce293d10-43a0-4b05-90bc-66357802d782,false,false,true,false,true,16
126,12,221e1d01-4342-4423-9d8f-d0befcfc7dc1,false,false,true,false,true,16
127,13,0d6d55f7-ce38-4878-87b3-0a9d1aaf53af,false,false,true,false,true,23
128,13,322d9f29-435a-403e-90a0-42132927d6b6,false,false,true,false,true,16
129,13,4919ab0e-b962-481f-84ac-56fa1adde52d,false,false,true,false,true,17
130,13,51152f1b-0394-4568-a15a-6039e9af055b,false,false,true,false,true,17
131,13,81ab93c8-9518-4770-b4a4-ffcc3c337101,false,false,true,false,true,22
132,13,372fa69d-0a79-4dc6-88fc-dfca8ba909c4,false,false,true,false,true,22
133,13,51152f1b-0394-4568-a15a-6039e9af055b,false,false,true,false,true,20
134,13,81ab93c8-9518-4770-b4a4-ffcc3c337101,false,false,true,false,true,20
135,13,0d6d55f7-ce38-4878-87b3-0a9d1aaf53af,false,false,true,false,true,21
136,13,80974e0e-e0f1-47c3-a5bc-902046767774,false,false,true,false,true,21
137,13,322d9f29-435a-403e-90a0-42132927d6b6,false,false,true,false,true,21
138,13,fa25658e-d670-47fa-8b88-688c07044b6c,false,false,true,false,true,21
139,13,322d9f29-435a-403e-90a0-42132927d6b6,false,false,true,false,true,21
140,14,d555675e-bda4-4720-bc9a-6cb25d292703,false,false,true,false,true,21
141,14,372fa69d-0a79-4dc6-88fc-dfca8ba909c4,false,false,true,false,true,20
142,14,9a0b969e-8e1a-4b87-9370-5891919e60a2,false,false,true,false,true,20
143,14,44eb57a0-60b5-455f-a7d0-e3d9c51fc29b,false,false,true,false,true,20
144,14,44eb57a0-60b5-455f-a7d0-e3d9c51fc29b,false,false,true,false,true,20
145,14,51152f1b-0394-4568-a15a-6039e9af055b,false,false,true,false,true,20
146,14,0d6d55f7-ce38-4878-87b3-0a9d1aaf53af,false,false,true,false,true,20
147,14,9707ef4f-2dd1-43a4-84f3-a82e2873f9fa,false,false,true,false,true,20
148,14,81ab93c8-9518-4770-b4a4-ffcc3c337101,false,false,true,false,true,20
149,14,416bcf76-08f6-4fb9-8fc6-abb526fbdfb0,false,true,true,false,true,20
150,14,e75af745-220e-45d9-bba6-36e11698a406,false,true,true,false,true,20
151,14,0d6d55f7-ce38-4878-87b3-0a9d1aaf53af,false,true,true,false,true,20
152,14,81ab93c8-9518-4770-b4a4-ffcc3c337101,false,true,true,false,true,20
153,14,51152f1b-0394-4568-a15a-6039e9af055b,false,true,true,false,true,20
154,15,372fa69d-0a79-4dc6-88fc-dfca8ba909c4,false,true,true,false,true,20
155,15,416bcf76-08f6-4fb9-8fc6-abb526fbdfb0,false,true,true,false,true,20
156,15,0d6d55f7-ce38-4878-87b3-0a9d1aaf53af,false,false,true,false,true,28
157,15,0d6d55f7-ce38-4878-87b3-0a9d1aaf53af,false,false,true,false,true,28
158,15,0c42a5c7-56e4-4c92-bd63-d70b03778099,false,false,true,false,true,28
159,15,416bcf76-08f6-4fb9-8fc6-abb526fbdfb0,false,false,true,false,true,28
160,15,44eb57a0-60b5-455f-a7d0-e3d9c51fc29b,false,false,true,false,true,28
161,15,96932bdd-bc2d-4f78-93e8-7b29bb70f109,false,false,true,false,true,28
162,15,d555675e-bda4-4720-bc9a-6cb25d292703,false,false,true,false,true,19
163,15,372fa69d-0a79-4dc6-88fc-dfca8ba909c4,false,false,true,false,true,27
164,15,0d6d55f7-ce38-4878-87b3-0a9d1aaf53af,false,false,true,false,true,26
165,16,81ab93c8-9518-4770-b4a4-ffcc3c337101,false,false,true,false,true,25
166,16,322d9f29-435a-403e-90a0-42132927d6b6,false,false,true,false,true,25
167,16,372fa69d-0a79-4dc6-88fc-dfca8ba909c4,false,false,true,false,true,22
168,16,fa25658e-d670-47fa-8b88-688c07044b6c,false,false,true,false,true,15
169,17,81ab93c8-9518-4770-b4a4-ffcc3c337101,false,false,true,false,true,28
170,17,44eb57a0-60b5-455f-a7d0-e3d9c51fc29b,false,false,true,false,true,28
171,17,44eb57a0-60b5-455f-a7d0-e3d9c51fc29b,false,false,true,false,true,28
172,17,416bcf76-08f6-4fb9-8fc6-abb526fbdfb0,false,false,true,false,true,28
